종목코드,종목명,종가,대비,등락률,상장시가총액
"000950","전방","28900","500","1.76","48552000000"
"000970","한국주철관","6840","-160","-2.29","155955420000"
"001020","페이퍼코리아","674","0","0.00","119960752962"
"001070","대한방직","6340","-70","-1.09","33602000000"
"001080","만호제강","5050","-750","-12.93","209575000000"
"001130","대한제분","14300","-1350","-8.63","241670000000"
"001210","금호전기","777","-15","-1.89","48080824491"
"001260","남광토건","8420","-150","-1.75","82790256240"
"001290","상상인증권","1173","53","4.73","127079441760"
"001340","PKC","5800","-150","-2.52","260844838400"
"001360","삼성제약","1690","-11","-0.65","159133913510"
"001380","SG글로벌","1924","89","4.85","43255504604"
"001420","태원물산","2920","-35","-1.18","22192000000"
"001460","BYC","45500","850","1.90","284199825000"
"001470","삼부토건","347","0","0.00","79699592928"
"001520","동양","662","-14","-2.07","158008849706"
"001550","조비","12770","-340","-2.59","66304892030"
"001560","제일연마","10600","-250","-2.30","80560000000"
"001620","케이비아이동국실업","2850","-360","-11.21","63437027100"
"001630","종근당홀딩스","46700","-800","-1.68","233960508700"
"001770","SHD","15240","-290","-1.87","18514740720"
"001780","알루코","2570","-70","-2.65","248853439240"
"001790","대한제당","2735","-45","-1.62","245320146300"
"002070","비비안","9500","-500","-5.00","22841268000"
"002100","경농","9550","-80","-0.83","186440591250"
