종목코드,종목명,종가,대비,등락률,상장시가총액
"067370","선바이오","7140","50","0.71","87061982700"
"067570","엔브이에이치코리아","2055","-25","-1.20","86659350000"
"067920","이글루","6150","-100","-1.60","67626131850"
"068050","팬엔터테인먼트","1361","-36","-2.58","37691637436"
"068330","일신바이오","1296","-40","-2.99","57304117440"
"068940","셀피글로벌","778","0","0.00","35720093048"
"069410","엔텔스","4890","-5","-0.10","50097189360"
"070300","엑스큐어","2340","-15","-0.64","54538562520"
"071670","에이테크솔루션","8150","-300","-3.55","81500000000"
"071850","캐스텍코리아","1505","55","3.79","36512711690"
"072470","우리산업홀딩스","3650","-85","-2.28","68938794650"
"072770","멤레이비티","707","0","0.00","58698106572"
"072990","에이치시티","4285","-80","-1.83","62124812710"
"073110","엘엠에스","6140","160","2.68","54619935700"
"048430","유라테크","7140","-170","-2.33","82252800000"
"187270","신화콘텍","3575","75","2.14","36264245875"
"096350","대창솔루션","2410","-40","-1.63","88819976420"
"096610","알에프세미","2965","0","0.00","51550708615"
"096630","에스코넥","2930","-110","-3.62","46517626390"
"096690","에이루트","1337","0","0.00","32271239861"
"097780","에코볼트","664","0","0.00","33686528072"
"097800","윈팩","2160","-225","-9.43","58946497200"
"097870","효성오앤비","5990","140","2.39","50855100000"
"099220","SDN","1134","30","2.72","73646892900"
"099390","브레인즈컴퍼니","4190","-30","-0.71","34392705770"
"099410","동방선기","4695","-170","-3.49","65730000000"
"099520","DGI","1284","0","0.00","58141862016"
"100030","인지소프트","19160","-420","-2.15","62915960240"
"100660","서암기계공업","4105","-70","-1.68","51723000000"
"101240","씨큐브","3860","-80","-2.03","43838220720"
"102370","케이옥션","2965","25","0.85","80734607650"
"103840","우양","2920","-70","-2.34","47789969760"
"104040","디에스엠","2955","-430","-12.70","79234084575"
"104200","NHN벅스","3730","150","4.19","55306761500"
"104540","코렌텍","4995","0","0.00","63864771300"
"104620","노랑풍선","4255","-95","-2.18","71528898760"
"105550","엣지파운드리","710","-2","-0.28","55598006210"
"105740","디케이락","8880","-120","-1.33","90296395440"
"105760","포스뱅크","5600","400","7.69","56993367200"
"106240","파인테크닉스","2200","-15","-0.68","50310319400"
"109080","옵티시스","13110","-530","-3.89","73887960000"
"109820","진매트릭스","1985","6","0.30","40481375400"
"109860","동일금속","7450","-120","-1.59","67795000000"
"109960","앱토크롬","153","0","0.00","33780758157"
"110790","크리스에프앤씨","3650","-35","-0.95","85523004000"
"111710","남화산업","3800","-80","-2.06","78234400000"
"114450","그린생명과학","2750","-45","-1.61","55000000000"
"114630","폴라리스우노","2150","-50","-2.27","37055783200"
"115160","휴맥스","7610","40","0.53","32815400620"
"115480","씨유메디칼","548","0","0.00","33222257784"
